time,marker
1587.0,gray
1590.0,gray
1593.0,gray
1596.0,A
1599.0,B
1602.0,A
1605.0,B
1608.0,A
1611.0,gray
1614.0,gray
1617.0,gray
1620.0,A
1623.0,B
1626.0,A
1629.0,B
1632.0,A
1635.0,gray
1638.0,gray
1641.0,gray
1644.0,A
1647.0,B
1650.0,A
1653.0,B
1656.0,A
1659.0,gray
1662.0,gray
1665.0,gray
1668.0,A
1671.0,B
1674.0,A
1677.0,B
1680.0,A
1683.0,gray
1686.0,gray
1689.0,gray
1692.0,A
1695.0,B
1698.0,A
1701.0,B
1704.0,A
1707.0,gray
1710.0,gray
1713.0,gray
1716.0,A
1719.0,B
1722.0,A
1725.0,B
1728.0,A
1731.0,gray
1734.0,gray
1737.0,gray
1740.0,A
1743.0,B
1746.0,A
1749.0,B
1752.0,A
1755.0,gray
1758.0,gray
1761.0,gray
1764.0,A
1767.0,B
1770.0,A
1773.0,B
1776.0,A
1779.0,gray
1782.0,gray
1785.0,gray
1788.0,A
1791.0,B
1794.0,A
1797.0,B
1800.0,A
1803.0,gray
1806.0,gray
1809.0,gray
1812.0,A
1815.0,B
1818.0,A
1821.0,B
1824.0,A
1827.0,gray
1830.0,gray
1833.0,gray
1836.0,A
1839.0,B
1842.0,A
1845.0,B
1848.0,A
1851.0,gray
1854.0,gray
1857.0,gray
1860.0,A
1863.0,B
1866.0,A
1869.0,B
1872.0,A
1875.0,gray
1878.0,gray
1881.0,gray
1884.0,A
1887.0,B
1890.0,A
1893.0,B
1896.0,A
1899.0,gray
1902.0,gray
1905.0,gray
1908.0,A
1911.0,B
1914.0,A
1917.0,B
1920.0,A
1923.0,gray
1926.0,gray
1929.0,gray
1932.0,A
1935.0,B
1938.0,A
1941.0,B
1944.0,A
1947.0,gray
1950.0,gray
1953.0,gray
1956.0,A
1959.0,B
1962.0,A
1965.0,B
1968.0,A
1971.0,gray
1974.0,gray
1977.0,gray
1980.0,A
1983.0,B
1986.0,A
1989.0,B
1992.0,A
1995.0,gray
1998.0,gray
2001.0,gray
2004.0,A
2007.0,B
2010.0,A
2013.0,B
2016.0,A
2019.0,gray
2022.0,gray
2025.0,gray
2028.0,A
2031.0,B
2034.0,A
2037.0,B
2040.0,A
2043.0,gray
2046.0,gray
2049.0,gray
2052.0,A
2055.0,B
2058.0,A
2061.0,B
2064.0,A
2067.0,gray
2070.0,gray
2073.0,gray
2076.0,A
2079.0,B
2082.0,A
2085.0,B
2088.0,A
2091.0,gray
2094.0,gray
2097.0,gray
2100.0,A
2103.0,B
2106.0,A
2109.0,B
2112.0,A
2115.0,gray
2118.0,gray
2121.0,gray
2124.0,A
2127.0,B
2130.0,A
2133.0,B
2136.0,A
2139.0,gray
2142.0,gray
2145.0,gray
2148.0,A
2151.0,B
2154.0,A
2157.0,B
2160.0,A
2163.0,gray
2166.0,gray
2169.0,gray
2172.0,A
2175.0,B
2178.0,A
2181.0,B
2184.0,A
2187.0,gray
2190.0,gray
2193.0,gray
2196.0,A
2199.0,B
2202.0,A
2205.0,B
